Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Weapon Used,Case Closed,Risk
51,3/1/2020,20-02-2020,17:10:00,Nagpur,BURGLARY,54,F,Other,Yes,Medium
52,5/1/2020,21-02-2020,19:13:00,Kolkata,BURGLARY,38,F,Blunt Object,Yes,Medium
53,5/1/2020,22-02-2020,22:01:00,Ghaziabad,PUBLIC INTOXICATION,29,M,Poison,Yes,Medium
54,5/1/2020,23-02-2020,18:47:00,Delhi,BURGLARY,75,M,Explosives,No,High
55,6/1/2020,24-02-2020,7:47:00,Pune,FIREARM OFFENSE,61,F,Poison,No,Medium
56,4/1/2020,25-02-2020,11:11:00,Meerut,BURGLARY,49,F,,No,Medium
57,6/1/2020,26-02-2020,20:16:00,Kanpur,SEXUAL ASSAULT,67,F,Firearm,Yes,High
58,3/1/2020,27-02-2020,9:43:00,Ahmedabad,ASSAULT,70,F,,No,High
59,4/1/2020,28-02-2020,2:40:00,Chennai,TRAFFIC VIOLATION,75,F,Blunt Object,No,Low
60,5/1/2020,29-02-2020,5:33:00,Thane,SHOPLIFTING,53,F,Other,Yes,Low
61,3/1/2020,1/3/2020,15:04:00,Mumbai,SHOPLIFTING,16,M,Poison,No,Medium
62,5/1/2020,2/3/2020,3:32:00,Surat,DRUG OFFENSE,30,M,Explosives,Yes,High
63,3/1/2020,3/3/2020,9:27:00,Chennai,FRAUD,56,M,Explosives,Yes,High
64,6/1/2020,4/3/2020,23:24:00,Thane,ILLEGAL POSSESSION,19,F,Blunt Object,Yes,Low
65,5/1/2020,5/3/2020,0:59:00,Visakhapatnam,DRUG OFFENSE,58,F,Explosives,No,High
66,6/1/2020,6/3/2020,11:49:00,Lucknow,EXTORTION,45,F,Other,Yes,Medium
67,3/1/2020,7/3/2020,17:48:00,Bhopal,CYBERCRIME,25,M,,No,Low
68,4/1/2020,8/3/2020,8:46:00,Visakhapatnam,BURGLARY,22,M,Knife,Yes,Medium
69,6/1/2020,9/3/2020,2:24:00,Hyderabad,PUBLIC INTOXICATION,59,F,Explosives,Yes,High
70,6/1/2020,10/3/2020,17:23:00,Visakhapatnam,FIREARM OFFENSE,31,F,Firearm,No,High
71,6/1/2020,11/3/2020,0:50:00,Kolkata,FIREARM OFFENSE,58,F,Poison,No,Medium
72,5/1/2020,12/3/2020,11:34:00,Nagpur,ARSON,53,F,Knife,Yes,Medium
73,5/1/2020,13-03-2020,7:58:00,Lucknow,BURGLARY,35,F,Blunt Object,No,Medium
74,6/1/2020,14-03-2020,3:01:00,Chennai,ARSON,36,M,Firearm,Yes,High
75,5/1/2020,15-03-2020,1:45:00,Ahmedabad,CYBERCRIME,70,F,Knife,No,Medium
76,6/1/2020,16-03-2020,20:57:00,Delhi,VANDALISM,52,M,Explosives,Yes,High
77,4/1/2020,17-03-2020,14:30:00,Mumbai,KIDNAPPING,25,F,Explosives,No,High
78,5/1/2020,18-03-2020,17:02:00,Indore,IDENTITY THEFT,58,F,Knife,Yes,Medium
79,5/1/2020,19-03-2020,3:40:00,Mumbai,ROBBERY,39,F,Poison,No,Medium
80,7/1/2020,20-03-2020,23:54:00,Visakhapatnam,VEHICLE - STOLEN,54,F,,Yes,Low
81,5/1/2020,21-03-2020,23:33:00,Delhi,ASSAULT,61,F,Knife,Yes,High
82,6/1/2020,22-03-2020,15:37:00,Jaipur,FRAUD,16,F,Explosives,No,High
83,6/1/2020,23-03-2020,9:17:00,Mumbai,ROBBERY,25,F,Firearm,Yes,High
84,4/1/2020,24-03-2020,6:13:00,Kolkata,TRAFFIC VIOLATION,72,F,Blunt Object,Yes,Low
85,5/1/2020,25-03-2020,12:40:00,Lucknow,PUBLIC INTOXICATION,48,M,Firearm,No,High
86,6/1/2020,26-03-2020,6:42:00,Mumbai,VANDALISM,22,M,Other,Yes,Low
87,7/1/2020,27-03-2020,16:00:00,Lucknow,PUBLIC INTOXICATION,30,F,Firearm,Yes,High
88,7/1/2020,28-03-2020,22:04:00,Rajkot,ROBBERY,11,F,Firearm,No,High
89,6/1/2020,29-03-2020,21:21:00,Mumbai,HOMICIDE,16,F,Knife,No,High
90,6/1/2020,30-03-2020,6:38:00,Hyderabad,VEHICLE - STOLEN,73,F,Blunt Object,No,Low
91,5/1/2020,31-03-2020,17:15:00,Kolkata,BURGLARY,72,F,Poison,No,Medium
92,4/1/2020,1/4/2020,9:21:00,Jaipur,CYBERCRIME,60,F,,No,Low
93,5/1/2020,2/4/2020,7:36:00,Hyderabad,FRAUD,53,M,,Yes,Medium
94,6/1/2020,3/4/2020,8:12:00,Mumbai,SEXUAL ASSAULT,42,F,Firearm,No,High
95,6/1/2020,4/4/2020,22:16:00,Vasai,PUBLIC INTOXICATION,10,M,Firearm,No,High
96,6/1/2020,5/4/2020,14:10:00,Hyderabad,DRUG OFFENSE,51,F,Blunt Object,No,Low
97,6/1/2020,6/4/2020,15:36:00,Nagpur,IDENTITY THEFT,26,F,Explosives,Yes,High
98,6/1/2020,7/4/2020,2:56:00,Kolkata,SEXUAL ASSAULT,71,M,Blunt Object,No,Low
99,6/1/2020,8/4/2020,14:38:00,Hyderabad,IDENTITY THEFT,74,F,Explosives,Yes,High
100,6/1/2020,9/4/2020,6:41:00,Hyderabad,DRUG OFFENSE,13,F,Other,Yes,Low
101,6/1/2020,10/4/2020,14:02:00,Ahmedabad,PUBLIC INTOXICATION,50,F,Knife,Yes,Medium
102,5/1/2020,11/4/2020,22:34:00,Mumbai,EXTORTION,69,F,Explosives,No,High
103,7/1/2020,12/4/2020,17:43:00,Kanpur,ASSAULT,34,F,Other,No,High
104,7/1/2020,13-04-2020,14:13:00,Mumbai,VEHICLE - STOLEN,38,F,Poison,Yes,Medium
105,6/1/2020,14-04-2020,19:30:00,Lucknow,FRAUD,44,F,Blunt Object,No,Medium
106,6/1/2020,15-04-2020,10:05:00,Hyderabad,VEHICLE - STOLEN,69,F,,Yes,Low
107,5/1/2020,16-04-2020,17:21:00,Lucknow,DOMESTIC VIOLENCE,12,F,Blunt Object,No,Low
108,7/1/2020,17-04-2020,9:35:00,Bangalore,ARSON,21,F,Poison,Yes,Medium
109,7/1/2020,18-04-2020,0:07:00,Chennai,PUBLIC INTOXICATION,55,F,Blunt Object,No,Low
110,5/1/2020,19-04-2020,23:32:00,Delhi,ARSON,15,F,Other,No,Low
111,7/1/2020,20-04-2020,23:24:00,Visakhapatnam,ILLEGAL POSSESSION,58,F,Explosives,Yes,High
112,8/1/2020,21-04-2020,7:02:00,Delhi,COUNTERFEITING,37,F,,No,Low
113,7/1/2020,22-04-2020,14:55:00,Bangalore,HOMICIDE,49,F,Knife,Yes,High
114,6/1/2020,23-04-2020,6:42:00,Surat,EXTORTION,30,M,Poison,No,Medium
115,7/1/2020,24-04-2020,8:02:00,Pune,FIREARM OFFENSE,50,F,Blunt Object,Yes,Low
116,5/1/2020,25-04-2020,6:26:00,Mumbai,BURGLARY,64,F,Knife,No,Medium
117,7/1/2020,26-04-2020,10:15:00,Lucknow,VANDALISM,43,M,Poison,Yes,Medium
118,6/1/2020,1/5/2020,2:16:00,Delhi,DRUG OFFENSE,32,M,Explosives,Yes,High
119,7/1/2020,1/5/2020,23:48:00,Mumbai,ILLEGAL POSSESSION,14,M,Poison,Yes,Medium
120,7/1/2020,1/5/2020,7:04:00,Pune,TRAFFIC VIOLATION,70,M,,Yes,Low
121,7/1/2020,1/6/2020,12:16:00,Ahmedabad,VEHICLE - STOLEN,78,F,Firearm,Yes,High
122,8/1/2020,1/6/2020,22:59:00,Delhi,KIDNAPPING,22,F,Other,Yes,High
123,6/1/2020,1/6/2020,0:00:00,Bhopal,VANDALISM,60,F,,No,Low
124,8/1/2020,1/6/2020,6:56:00,Ludhiana,SEXUAL ASSAULT,44,F,Blunt Object,No,Low
125,9/1/2020,1/6/2020,19:19:00,Pune,FRAUD,30,M,Knife,No,Medium
126,9/1/2020,1/6/2020,5:15:00,Pune,ASSAULT,62,F,,No,High
127,7/1/2020,1/6/2020,0:44:00,Surat,FIREARM OFFENSE,42,F,,No,Low
128,7/1/2020,1/6/2020,2:17:00,Ghaziabad,IDENTITY THEFT,73,F,Knife,Yes,Medium
129,9/1/2020,1/6/2020,12:39:00,Kanpur,SHOPLIFTING,25,M,Explosives,No,High
130,8/1/2020,1/6/2020,14:55:00,Ghaziabad,ROBBERY,33,M,Other,Yes,Low
131,8/1/2020,1/6/2020,19:26:00,Agra,ARSON,13,F,Poison,No,Medium
132,7/1/2020,1/6/2020,6:55:00,Lucknow,IDENTITY THEFT,39,F,Knife,No,Medium
133,6/1/2020,1/6/2020,19:17:00,Bangalore,HOMICIDE,18,M,,No,High
134,6/1/2020,1/6/2020,0:56:00,Lucknow,ILLEGAL POSSESSION,75,F,Knife,No,Medium
135,6/1/2020,1/6/2020,7:26:00,Delhi,VANDALISM,50,F,Other,No,Low
136,9/1/2020,1/6/2020,2:16:00,Delhi,FRAUD,71,F,Other,No,Medium
137,7/1/2020,1/6/2020,1:01:00,Ahmedabad,PUBLIC INTOXICATION,38,F,Explosives,Yes,High
138,8/1/2020,1/6/2020,20:11:00,Mumbai,ASSAULT,12,M,Blunt Object,No,High
139,8/1/2020,1/6/2020,7:11:00,Kanpur,KIDNAPPING,57,F,Other,No,High
140,8/1/2020,1/6/2020,1:17:00,Jaipur,CYBERCRIME,47,F,Firearm,Yes,High
141,8/1/2020,1/6/2020,14:13:00,Delhi,DOMESTIC VIOLENCE,73,F,Other,No,Low
142,7/1/2020,1/6/2020,6:34:00,Mumbai,FIREARM OFFENSE,41,F,Blunt Object,Yes,Low
143,7/1/2020,1/6/2020,12:37:00,Mumbai,ILLEGAL POSSESSION,45,F,,No,Low
144,7/1/2020,1/6/2020,16:49:00,Varanasi,ASSAULT,79,F,Firearm,Yes,High
145,8/1/2020,1/7/2020,3:38:00,Ludhiana,IDENTITY THEFT,17,M,Firearm,No,High
146,8/1/2020,1/7/2020,16:44:00,Kolkata,PUBLIC INTOXICATION,15,F,Knife,No,Medium
147,7/1/2020,1/7/2020,18:49:00,Meerut,CYBERCRIME,44,F,Other,Yes,Low
148,7/1/2020,1/7/2020,22:27:00,Bangalore,COUNTERFEITING,28,F,Knife,No,Medium
149,7/1/2020,1/7/2020,1:09:00,Agra,IDENTITY THEFT,41,F,,Yes,Low
150,7/1/2020,1/7/2020,11:19:00,Patna,SHOPLIFTING,46,F,Knife,Yes,Medium
151,8/1/2020,1/7/2020,13:59:00,Bhopal,DRUG OFFENSE,35,F,Blunt Object,Yes,Low
152,7/1/2020,1/7/2020,16:17:00,Bangalore,ILLEGAL POSSESSION,67,M,,No,Low
153,8/1/2020,1/7/2020,17:21:00,Delhi,IDENTITY THEFT,23,F,Knife,No,Medium
154,9/1/2020,1/7/2020,19:49:00,Chennai,KIDNAPPING,39,F,Other,No,High
155,10/1/2020,1/7/2020,19:37:00,Bangalore,DOMESTIC VIOLENCE,48,F,Blunt Object,No,Low
156,10/1/2020,1/7/2020,12:05:00,Pune,DOMESTIC VIOLENCE,71,F,Blunt Object,Yes,Low
157,7/1/2020,1/7/2020,13:48:00,Hyderabad,COUNTERFEITING,32,F,Other,No,Low
158,8/1/2020,1/7/2020,3:32:00,Ahmedabad,HOMICIDE,18,F,Firearm,No,High
159,9/1/2020,1/7/2020,6:49:00,Delhi,VEHICLE - STOLEN,38,F,Poison,Yes,Medium
160,7/1/2020,1/7/2020,14:26:00,Kolkata,ASSAULT,27,F,Blunt Object,Yes,High
161,9/1/2020,1/7/2020,9:21:00,Meerut,COUNTERFEITING,30,F,Knife,Yes,Medium
162,7/1/2020,1/7/2020,17:22:00,Surat,CYBERCRIME,17,F,,No,Low
163,9/1/2020,1/7/2020,9:50:00,Pune,SHOPLIFTING,39,F,Knife,No,Medium
164,8/1/2020,1/7/2020,2:04:00,Pune,ARSON,66,F,Firearm,No,High
165,10/1/2020,1/7/2020,6:07:00,Ghaziabad,SEXUAL ASSAULT,11,F,Firearm,Yes,High
166,10/1/2020,1/7/2020,0:42:00,Ahmedabad,VANDALISM,54,M,Firearm,Yes,High
167,8/1/2020,1/7/2020,5:25:00,Delhi,VANDALISM,79,M,Explosives,Yes,High
168,8/1/2020,1/7/2020,2:01:00,Delhi,FRAUD,12,F,Firearm,Yes,High
169,8/1/2020,1/8/2020,0:14:00,Lucknow,DRUG OFFENSE,19,F,Blunt Object,No,Low
170,10/1/2020,1/8/2020,5:22:00,Kalyan,TRAFFIC VIOLATION,21,F,Knife,Yes,Medium
171,9/1/2020,1/8/2020,18:43:00,Agra,COUNTERFEITING,24,M,,Yes,Low
172,8/1/2020,1/8/2020,1:57:00,Jaipur,TRAFFIC VIOLATION,58,M,Poison,No,Medium
173,11/1/2020,1/8/2020,13:20:00,Hyderabad,SEXUAL ASSAULT,51,F,Blunt Object,Yes,Low
174,9/1/2020,1/8/2020,1:34:00,Indore,DRUG OFFENSE,40,F,,No,Low
175,9/1/2020,1/8/2020,10:27:00,Surat,ROBBERY,64,M,Blunt Object,Yes,Low
176,9/1/2020,1/8/2020,22:06:00,Lucknow,BURGLARY,66,F,,Yes,Medium
177,8/1/2020,1/8/2020,2:25:00,Chennai,FIREARM OFFENSE,28,F,Firearm,Yes,High
178,9/1/2020,1/8/2020,16:59:00,Mumbai,ILLEGAL POSSESSION,54,F,,No,Low
179,10/1/2020,1/8/2020,7:31:00,Agra,FRAUD,42,F,Knife,No,Medium
180,10/1/2020,1/8/2020,2:31:00,Pune,DOMESTIC VIOLENCE,72,M,Blunt Object,Yes,Low
181,10/1/2020,1/8/2020,7:34:00,Bangalore,TRAFFIC VIOLATION,23,F,Poison,No,Medium
182,10/1/2020,1/8/2020,12:16:00,Mumbai,CYBERCRIME,53,F,Poison,No,Medium
183,10/1/2020,1/8/2020,17:18:00,Ahmedabad,SEXUAL ASSAULT,28,F,Firearm,Yes,High
184,10/1/2020,1/8/2020,23:28:00,Hyderabad,SEXUAL ASSAULT,27,F,,No,Low
185,8/1/2020,1/8/2020,17:27:00,Mumbai,FRAUD,67,F,Other,Yes,Medium
186,11/1/2020,1/8/2020,8:32:00,Bangalore,FRAUD,70,F,Other,Yes,Medium
187,9/1/2020,1/8/2020,10:28:00,Delhi,VANDALISM,75,F,Blunt Object,Yes,Low
188,9/1/2020,1/8/2020,18:53:00,Nagpur,IDENTITY THEFT,66,F,,Yes,Low
189,9/1/2020,1/8/2020,3:24:00,Hyderabad,EXTORTION,24,F,Knife,Yes,Medium
190,11/1/2020,1/8/2020,21:24:00,Chennai,CYBERCRIME,44,M,Explosives,Yes,High
191,9/1/2020,1/8/2020,15:53:00,Chennai,KIDNAPPING,63,F,Knife,No,High
192,9/1/2020,1/8/2020,20:39:00,Delhi,IDENTITY THEFT,18,M,Blunt Object,Yes,Low
193,10/1/2020,1/9/2020,5:28:00,Ghaziabad,PUBLIC INTOXICATION,19,F,,No,Low
194,9/1/2020,1/9/2020,4:00:00,Jaipur,DOMESTIC VIOLENCE,49,M,,Yes,Low
195,11/1/2020,1/9/2020,8:16:00,Delhi,ILLEGAL POSSESSION,33,F,Poison,No,Medium
196,10/1/2020,1/9/2020,0:18:00,Lucknow,DOMESTIC VIOLENCE,56,M,Other,Yes,Low
197,10/1/2020,1/9/2020,15:55:00,Ahmedabad,PUBLIC INTOXICATION,32,M,Explosives,Yes,High
198,11/1/2020,1/9/2020,10:20:00,Hyderabad,EXTORTION,25,F,Explosives,Yes,High
199,10/1/2020,1/9/2020,21:01:00,Delhi,ARSON,62,F,Firearm,No,High
200,11/1/2020,1/9/2020,2:06:00,Nashik,HOMICIDE,56,F,Blunt Object,No,High
201,11/1/2020,1/9/2020,4:27:00,Srinagar,COUNTERFEITING,27,F,Blunt Object,Yes,Low
202,12/1/2020,1/9/2020,18:52:00,Nagpur,FRAUD,63,M,Explosives,No,High
203,10/1/2020,1/9/2020,12:58:00,Mumbai,DRUG OFFENSE,34,F,Blunt Object,Yes,Low
204,11/1/2020,1/9/2020,13:00:00,Lucknow,KIDNAPPING,16,F,Firearm,Yes,High
205,11/1/2020,1/9/2020,2:34:00,Hyderabad,SHOPLIFTING,59,F,Other,Yes,Low
206,9/1/2020,1/9/2020,23:51:00,Thane,VEHICLE - STOLEN,44,F,,Yes,Low
207,11/1/2020,1/9/2020,12:37:00,Bangalore,COUNTERFEITING,21,F,Blunt Object,Yes,Low
208,9/1/2020,1/9/2020,20:15:00,Patna,ASSAULT,59,M,,No,High
209,10/1/2020,1/9/2020,17:29:00,Hyderabad,EXTORTION,41,F,Explosives,No,High
210,12/1/2020,1/9/2020,6:07:00,Kolkata,PUBLIC INTOXICATION,43,F,Knife,Yes,Medium
211,11/1/2020,1/9/2020,20:05:00,Bhopal,COUNTERFEITING,15,M,Explosives,No,High
212,10/1/2020,1/9/2020,14:15:00,Delhi,FIREARM OFFENSE,34,M,Blunt Object,No,Low
213,11/1/2020,1/9/2020,7:00:00,Kolkata,IDENTITY THEFT,19,F,Firearm,Yes,High
214,11/1/2020,1/9/2020,2:45:00,Bangalore,VEHICLE - STOLEN,73,M,Explosives,Yes,High
215,11/1/2020,1/9/2020,0:56:00,Delhi,SEXUAL ASSAULT,44,M,Explosives,Yes,High
216,10/1/2020,1/9/2020,9:23:00,Ahmedabad,SHOPLIFTING,14,F,Knife,No,Medium
217,12/1/2020,1/10/2020,5:32:00,Kolkata,COUNTERFEITING,73,M,,Yes,Low
218,11/1/2020,1/10/2020,23:36:00,Surat,FRAUD,49,F,Other,No,Medium
219,12/1/2020,1/10/2020,8:44:00,Pune,TRAFFIC VIOLATION,61,M,Other,No,Low
220,12/1/2020,1/10/2020,17:27:00,Nagpur,BURGLARY,68,F,Knife,No,Medium
221,10/1/2020,1/10/2020,3:16:00,Kolkata,VEHICLE - STOLEN,24,F,,Yes,Low
222,11/1/2020,1/10/2020,5:29:00,Ludhiana,KIDNAPPING,69,F,Poison,Yes,High
223,11/1/2020,1/10/2020,19:37:00,Bangalore,FRAUD,55,F,Poison,No,Medium
224,12/1/2020,1/10/2020,23:31:00,Chennai,ROBBERY,49,F,Knife,Yes,Medium
225,10/1/2020,1/10/2020,0:10:00,Bangalore,CYBERCRIME,40,F,Firearm,Yes,High
226,10/1/2020,1/10/2020,15:46:00,Surat,HOMICIDE,51,F,Explosives,No,High
227,12/1/2020,1/10/2020,23:35:00,Mumbai,VANDALISM,35,F,Poison,Yes,Medium
228,10/1/2020,1/10/2020,1:56:00,Pune,COUNTERFEITING,65,F,Blunt Object,No,Low
229,13-01-2020,1/10/2020,4:03:00,Jaipur,VEHICLE - STOLEN,61,F,Other,Yes,Low
230,11/1/2020,1/10/2020,8:27:00,Ahmedabad,VANDALISM,35,M,Poison,No,Medium
231,12/1/2020,1/10/2020,22:47:00,Pune,IDENTITY THEFT,45,M,Blunt Object,No,Low
232,12/1/2020,1/10/2020,4:38:00,Patna,ARSON,32,F,,Yes,Low
233,12/1/2020,1/10/2020,19:09:00,Mumbai,HOMICIDE,11,F,Other,No,High
234,11/1/2020,1/10/2020,3:46:00,Kolkata,ASSAULT,40,M,Poison,No,High
235,12/1/2020,1/10/2020,20:30:00,Mumbai,TRAFFIC VIOLATION,23,F,Firearm,Yes,High
236,13-01-2020,1/10/2020,22:34:00,Ludhiana,ARSON,14,M,Poison,Yes,Medium
237,12/1/2020,1/10/2020,6:53:00,Visakhapatnam,CYBERCRIME,23,M,Other,No,Low
238,12/1/2020,1/10/2020,4:23:00,Chennai,CYBERCRIME,35,M,Knife,No,Medium
239,12/1/2020,1/10/2020,10:13:00,Delhi,FIREARM OFFENSE,65,M,Knife,No,Medium
240,11/1/2020,1/10/2020,11:41:00,Hyderabad,FIREARM OFFENSE,51,F,Knife,No,Medium
241,12/1/2020,1/11/2020,0:34:00,Mumbai,COUNTERFEITING,35,F,Other,No,Low
242,11/1/2020,1/11/2020,3:03:00,Bangalore,VANDALISM,59,F,Blunt Object,Yes,Low
243,12/1/2020,1/11/2020,11:51:00,Pune,FRAUD,48,F,Knife,Yes,Medium
244,13-01-2020,1/11/2020,10:11:00,Kalyan,SEXUAL ASSAULT,18,F,Poison,Yes,Medium
245,13-01-2020,1/11/2020,14:49:00,Nagpur,ROBBERY,58,F,Firearm,Yes,High
246,11/1/2020,1/11/2020,17:14:00,Kolkata,ILLEGAL POSSESSION,65,F,Knife,No,Medium
247,13-01-2020,1/11/2020,8:58:00,Nagpur,EXTORTION,38,F,Blunt Object,Yes,Medium
248,14-01-2020,1/11/2020,20:32:00,Ahmedabad,IDENTITY THEFT,77,F,Explosives,Yes,High
249,13-01-2020,1/11/2020,7:14:00,Thane,DOMESTIC VIOLENCE,70,F,Explosives,Yes,High
250,13-01-2020,1/11/2020,21:57:00,Nagpur,EXTORTION,11,F,Other,Yes,Medium
251,14-01-2020,1/11/2020,2:39:00,Delhi,FIREARM OFFENSE,45,F,Other,No,Low
252,13-01-2020,1/11/2020,15:11:00,Thane,SHOPLIFTING,71,F,Firearm,Yes,High
253,12/1/2020,1/11/2020,1:17:00,Hyderabad,TRAFFIC VIOLATION,11,M,Other,Yes,Low
254,12/1/2020,1/11/2020,15:04:00,Nashik,ILLEGAL POSSESSION,39,M,,Yes,Low
255,14-01-2020,1/11/2020,21:38:00,Meerut,FIREARM OFFENSE,68,M,Explosives,No,High
256,13-01-2020,1/11/2020,6:45:00,Kolkata,PUBLIC INTOXICATION,76,M,Explosives,Yes,High
257,12/1/2020,1/11/2020,0:13:00,Hyderabad,EXTORTION,47,M,Blunt Object,Yes,Medium
258,11/1/2020,1/11/2020,17:21:00,Ahmedabad,IDENTITY THEFT,22,F,Other,No,Low
259,12/1/2020,1/11/2020,22:11:00,Mumbai,EXTORTION,33,M,Poison,Yes,Medium
260,13-01-2020,1/11/2020,8:18:00,Indore,KIDNAPPING,55,F,Firearm,No,High
261,12/1/2020,1/11/2020,1:13:00,Chennai,BURGLARY,11,F,,Yes,Medium
262,12/1/2020,1/11/2020,7:49:00,Ghaziabad,COUNTERFEITING,49,M,Blunt Object,Yes,Low
263,12/1/2020,1/11/2020,8:50:00,Kolkata,IDENTITY THEFT,56,F,Poison,No,Medium
264,13-01-2020,1/11/2020,22:04:00,Kanpur,SEXUAL ASSAULT,69,F,Knife,Yes,Medium
265,12/1/2020,1/12/2020,19:08:00,Visakhapatnam,COUNTERFEITING,79,F,Blunt Object,Yes,Low
266,12/1/2020,1/12/2020,3:39:00,Chennai,IDENTITY THEFT,17,F,Explosives,No,High
