Report_Number,Date_Reported,City,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Case_Closed,DateTime_of_Occurrence
111,2020-07-01,28,12,58.0,0,1,1,
113,2020-07-01,2,10,49.0,0,3,1,
114,2020-06-01,24,7,30.0,1,5,0,
115,2020-07-01,21,8,50.0,0,0,1,
116,2020-05-01,17,2,64.0,0,3,0,
117,2020-07-01,14,19,43.0,1,5,1,
118,2020-06-01,5,6,32.0,1,1,1,2020-01-05 02:16:00
119,2020-07-01,17,12,14.0,1,5,1,2020-01-05 23:48:00
121,2020-07-01,1,20,78.0,0,2,1,2020-01-06 12:16:00
122,2020-08-01,5,13,22.0,0,4,1,2020-01-06 22:59:00
124,2020-08-01,15,16,44.0,0,0,0,2020-01-06 06:56:00
125,2020-09-01,21,9,30.0,1,3,0,2020-01-06 19:19:00
128,2020-07-01,7,11,73.0,0,3,1,2020-01-06 02:17:00
129,2020-09-01,12,17,25.0,1,1,0,2020-01-06 12:39:00
130,2020-08-01,7,15,33.0,1,4,1,2020-01-06 14:55:00
131,2020-08-01,0,0,13.0,0,5,0,2020-01-06 19:26:00
132,2020-07-01,14,11,39.0,0,3,0,2020-01-06 06:55:00
134,2020-06-01,14,12,75.0,0,3,0,2020-01-06 00:56:00
135,2020-06-01,5,19,50.0,0,4,0,2020-01-06 07:26:00
136,2020-09-01,5,9,71.0,0,4,0,2020-01-06 02:16:00
137,2020-07-01,1,14,38.0,0,1,1,2020-01-06 01:01:00
138,2020-08-01,17,1,12.0,1,0,0,2020-01-06 20:11:00
139,2020-08-01,12,13,57.0,0,4,0,2020-01-06 07:11:00
140,2020-08-01,10,4,47.0,0,2,1,2020-01-06 01:17:00
141,2020-08-01,5,5,73.0,0,4,0,2020-01-06 14:13:00
142,2020-07-01,17,8,41.0,0,0,1,2020-01-06 06:34:00
144,2020-07-01,26,1,79.0,0,2,1,2020-01-06 16:49:00
145,2020-08-01,15,11,17.0,1,2,0,2020-01-07 03:38:00
146,2020-08-01,13,14,15.0,0,3,0,2020-01-07 16:44:00
147,2020-07-01,16,4,44.0,0,4,1,2020-01-07 18:49:00
148,2020-07-01,2,3,28.0,0,3,0,2020-01-07 22:27:00
150,2020-07-01,20,17,46.0,0,3,1,2020-01-07 11:19:00
151,2020-08-01,3,6,35.0,0,0,1,2020-01-07 13:59:00
153,2020-08-01,5,11,23.0,0,3,0,2020-01-07 17:21:00
154,2020-09-01,4,13,39.0,0,4,0,2020-01-07 19:49:00
155,2020-10-01,2,5,48.0,0,0,0,2020-01-07 19:37:00
156,2020-10-01,21,5,71.0,0,0,1,2020-01-07 12:05:00
157,2020-07-01,8,3,32.0,0,4,0,2020-01-07 13:48:00
158,2020-08-01,1,10,18.0,0,2,0,2020-01-07 03:32:00
159,2020-09-01,5,20,38.0,0,5,1,2020-01-07 06:49:00
160,2020-07-01,13,1,27.0,0,0,1,2020-01-07 14:26:00
161,2020-09-01,16,3,30.0,0,3,1,2020-01-07 09:21:00
163,2020-09-01,21,17,39.0,0,3,0,2020-01-07 09:50:00
164,2020-08-01,21,0,66.0,0,2,0,2020-01-07 02:04:00
165,2020-10-01,7,16,11.0,0,2,1,2020-01-07 06:07:00
166,2020-10-01,1,19,54.0,1,2,1,2020-01-07 00:42:00
167,2020-08-01,5,19,79.0,1,1,1,2020-01-07 05:25:00
168,2020-08-01,5,9,12.0,0,2,1,2020-01-07 02:01:00
169,2020-08-01,14,6,19.0,0,0,0,2020-01-08 00:14:00
170,2020-10-01,11,18,21.0,0,3,1,2020-01-08 05:22:00
172,2020-08-01,10,18,58.0,1,5,0,2020-01-08 01:57:00
173,2020-11-01,8,16,51.0,0,0,1,2020-01-08 13:20:00
175,2020-09-01,24,15,64.0,1,0,1,2020-01-08 10:27:00
177,2020-08-01,4,8,28.0,0,2,1,2020-01-08 02:25:00
179,2020-10-01,0,9,42.0,0,3,0,2020-01-08 07:31:00
180,2020-10-01,21,5,72.0,1,0,1,2020-01-08 02:31:00
181,2020-10-01,2,18,23.0,0,5,0,2020-01-08 07:34:00
182,2020-10-01,17,4,53.0,0,5,0,2020-01-08 12:16:00
183,2020-10-01,1,16,28.0,0,2,1,2020-01-08 17:18:00
185,2020-08-01,17,9,67.0,0,4,1,2020-01-08 17:27:00
186,2020-11-01,2,9,70.0,0,4,1,2020-01-08 08:32:00
187,2020-09-01,5,19,75.0,0,0,1,2020-01-08 10:28:00
189,2020-09-01,8,7,24.0,0,3,1,2020-01-08 03:24:00
190,2020-11-01,4,4,44.0,1,1,1,2020-01-08 21:24:00
191,2020-09-01,4,13,63.0,0,3,0,2020-01-08 15:53:00
192,2020-09-01,5,11,18.0,1,0,1,2020-01-08 20:39:00
195,2020-11-01,5,12,33.0,0,5,0,2020-01-09 08:16:00
196,2020-10-01,14,5,56.0,1,4,1,2020-01-09 00:18:00
197,2020-10-01,1,14,32.0,1,1,1,2020-01-09 15:55:00
198,2020-11-01,8,7,25.0,0,1,1,2020-01-09 10:20:00
199,2020-10-01,5,0,62.0,0,2,0,2020-01-09 21:01:00
200,2020-11-01,19,10,56.0,0,0,0,2020-01-09 02:06:00
201,2020-11-01,23,3,27.0,0,0,1,2020-01-09 04:27:00
202,2020-12-01,18,9,63.0,1,1,0,2020-01-09 18:52:00
203,2020-10-01,17,6,34.0,0,0,1,2020-01-09 12:58:00
204,2020-11-01,14,13,16.0,0,2,1,2020-01-09 13:00:00
205,2020-11-01,8,17,59.0,0,4,1,2020-01-09 02:34:00
207,2020-11-01,2,3,21.0,0,0,1,2020-01-09 12:37:00
209,2020-10-01,8,7,41.0,0,1,0,2020-01-09 17:29:00
210,2020-12-01,13,14,43.0,0,3,1,2020-01-09 06:07:00
211,2020-11-01,3,3,15.0,1,1,0,2020-01-09 20:05:00
212,2020-10-01,5,8,34.0,1,0,0,2020-01-09 14:15:00
213,2020-11-01,13,11,19.0,0,2,1,2020-01-09 07:00:00
214,2020-11-01,2,20,73.0,1,1,1,2020-01-09 02:45:00
215,2020-11-01,5,16,44.0,1,1,1,2020-01-09 00:56:00
216,2020-10-01,1,17,14.0,0,3,0,2020-01-09 09:23:00
218,2020-11-01,24,9,49.0,0,4,0,2020-01-10 23:36:00
219,2020-12-01,21,18,61.0,1,4,0,2020-01-10 08:44:00
220,2020-12-01,18,2,68.0,0,3,0,2020-01-10 17:27:00
222,2020-11-01,15,13,69.0,0,5,1,2020-01-10 05:29:00
223,2020-11-01,2,9,55.0,0,5,0,2020-01-10 19:37:00
224,2020-12-01,4,15,49.0,0,3,1,2020-01-10 23:31:00
225,2020-10-01,2,4,40.0,0,2,1,2020-01-10 00:10:00
226,2020-10-01,24,10,51.0,0,1,0,2020-01-10 15:46:00
227,2020-12-01,17,19,35.0,0,5,1,2020-01-10 23:35:00
228,2020-10-01,21,3,65.0,0,0,0,2020-01-10 01:56:00
229,,10,20,61.0,0,4,1,2020-01-10 04:03:00
230,2020-11-01,1,19,35.0,1,5,0,2020-01-10 08:27:00
231,2020-12-01,21,11,45.0,1,0,0,2020-01-10 22:47:00
233,2020-12-01,17,10,11.0,0,4,0,2020-01-10 19:09:00
234,2020-11-01,13,1,40.0,1,5,0,2020-01-10 03:46:00
235,2020-12-01,17,18,23.0,0,2,1,2020-01-10 20:30:00
236,,15,0,14.0,1,5,1,2020-01-10 22:34:00
237,2020-12-01,28,4,23.0,1,4,0,2020-01-10 06:53:00
238,2020-12-01,4,4,35.0,1,3,0,2020-01-10 04:23:00
239,2020-12-01,5,8,65.0,1,3,0,2020-01-10 10:13:00
240,2020-11-01,8,8,51.0,0,3,0,2020-01-10 11:41:00
241,2020-12-01,17,3,35.0,0,4,0,2020-01-11 00:34:00
242,2020-11-01,2,19,59.0,0,0,1,2020-01-11 03:03:00
243,2020-12-01,21,9,48.0,0,3,1,2020-01-11 11:51:00
244,,11,16,18.0,0,5,1,2020-01-11 10:11:00
245,,18,15,58.0,0,2,1,2020-01-11 14:49:00
246,2020-11-01,13,12,65.0,0,3,0,2020-01-11 17:14:00
247,,18,7,38.0,0,0,1,2020-01-11 08:58:00
248,,1,11,77.0,0,1,1,2020-01-11 20:32:00
249,,25,5,70.0,0,1,1,2020-01-11 07:14:00
250,,18,7,11.0,0,4,1,2020-01-11 21:57:00
251,,5,8,45.0,0,4,0,2020-01-11 02:39:00
252,,25,17,71.0,0,2,1,2020-01-11 15:11:00
253,2020-12-01,8,18,11.0,1,4,1,2020-01-11 01:17:00
255,,16,8,68.0,1,1,0,2020-01-11 21:38:00
256,,13,14,76.0,1,1,1,2020-01-11 06:45:00
257,2020-12-01,8,7,47.0,1,0,1,2020-01-11 00:13:00
258,2020-11-01,1,11,22.0,0,4,0,2020-01-11 17:21:00
259,2020-12-01,17,7,33.0,1,5,1,2020-01-11 22:11:00
260,,9,13,55.0,0,2,0,2020-01-11 08:18:00
262,2020-12-01,7,3,49.0,1,0,1,2020-01-11 07:49:00
263,2020-12-01,13,11,56.0,0,5,0,2020-01-11 08:50:00
264,,12,16,69.0,0,3,1,2020-01-11 22:04:00
265,2020-12-01,28,3,79.0,0,0,1,2020-01-12 19:08:00
266,2020-12-01,4,11,17.0,0,1,0,2020-01-12 03:39:00
267,,18,12,71.0,0,1,0,2020-01-12 08:13:00
268,,12,13,16.0,0,3,1,2020-01-12 23:31:00
269,2020-12-01,24,15,71.0,1,4,0,2020-01-12 08:35:00
270,,23,17,50.0,1,1,1,2020-01-12 07:42:00
271,,9,6,38.0,1,0,0,2020-01-12 08:31:00
272,,8,14,39.0,0,3,1,2020-01-12 23:49:00
273,,5,11,36.0,1,4,0,2020-01-12 11:51:00
275,,3,18,78.0,1,0,0,2020-01-12 04:01:00
276,,1,1,21.0,1,4,0,2020-01-12 06:07:00
277,2020-12-01,9,1,10.0,0,5,0,2020-01-12 10:15:00
278,,3,18,44.0,0,3,0,2020-01-12 13:29:00
279,,4,18,58.0,1,3,1,2020-01-12 04:56:00
280,,15,13,45.0,0,0,1,2020-01-12 04:19:00
281,,23,8,12.0,0,5,0,2020-01-12 10:14:00
282,,15,9,62.0,0,4,1,2020-01-12 00:49:00
283,,15,2,48.0,0,0,0,2020-01-12 01:20:00
285,,9,1,70.0,0,0,0,2020-01-12 15:38:00
286,,17,17,38.0,1,4,1,2020-01-12 05:53:00
287,,21,20,12.0,0,1,1,2020-01-12 16:05:00
288,,2,11,30.0,0,2,1,2020-01-12 01:39:00
289,,4,12,25.0,0,0,1,
290,,1,7,22.0,0,4,0,
291,,4,17,69.0,0,1,0,
292,,4,2,31.0,0,5,0,
293,,25,2,59.0,1,5,0,
294,,4,1,51.0,0,0,1,
295,,2,5,48.0,1,5,1,
296,,13,19,62.0,1,4,1,
297,,5,18,50.0,1,1,0,
298,,13,11,32.0,1,1,1,
299,,23,16,40.0,0,4,0,
300,,18,15,55.0,0,0,1,
303,,12,5,12.0,0,0,0,
305,,21,18,13.0,0,3,1,
306,,6,8,27.0,1,5,0,
307,,12,18,50.0,0,2,1,
308,,9,3,66.0,0,4,0,
309,,2,16,26.0,1,2,1,
310,,1,5,35.0,0,5,1,
312,,13,0,32.0,0,2,0,
313,,2,6,37.0,0,2,0,
314,,2,1,18.0,0,2,0,
315,,12,2,60.0,1,5,1,
316,,5,2,42.0,1,4,1,
317,,17,5,42.0,0,3,1,
319,,14,19,79.0,0,4,0,
320,,2,0,41.0,1,3,0,
321,,21,9,45.0,1,5,0,
323,,2,0,64.0,0,1,0,
324,,17,9,67.0,1,3,0,
325,,2,17,67.0,0,1,1,
326,,28,19,45.0,0,1,0,
327,,20,15,53.0,0,5,0,
328,,2,2,68.0,1,2,0,
329,,17,0,70.0,1,3,0,
330,,24,6,42.0,0,4,1,
331,,5,0,15.0,0,5,1,
332,,5,12,57.0,1,3,1,
333,,17,3,70.0,1,1,1,
335,,2,17,77.0,0,5,0,
337,,5,3,53.0,0,4,0,
338,,6,16,21.0,1,4,1,
340,,1,14,36.0,0,3,1,
341,,21,15,14.0,0,3,1,
342,,5,13,30.0,0,0,0,
343,,21,4,46.0,1,2,1,
345,,16,16,60.0,0,2,0,
346,,5,2,11.0,1,2,0,
347,,17,5,76.0,0,4,0,
348,,5,12,55.0,1,3,1,
350,,2,14,50.0,0,5,1,
351,,21,20,73.0,0,2,0,
352,,17,4,44.0,0,0,1,
353,,5,12,64.0,0,1,1,
354,,27,7,78.0,0,1,1,
355,,19,10,54.0,0,4,0,
356,,21,2,25.0,0,5,0,
357,,5,4,44.0,1,3,0,
358,,14,6,12.0,0,2,0,
359,,14,1,31.0,0,4,1,
360,,13,2,14.0,0,1,1,
361,,16,12,14.0,1,3,0,
362,,15,4,26.0,0,5,1,
363,,10,12,51.0,0,2,0,
367,,19,12,59.0,1,3,0,
369,,9,12,46.0,0,1,0,
370,,2,3,28.0,1,5,1,
371,,7,7,62.0,0,3,0,
372,,5,8,36.0,0,3,0,
373,,5,16,24.0,0,0,0,
374,,16,5,36.0,0,4,1,
375,,5,6,28.0,0,4,0,
376,,14,2,29.0,0,0,1,
377,,9,2,44.0,1,0,1,
379,,5,6,19.0,0,3,0,
380,,7,6,36.0,0,0,1,
381,,24,11,69.0,0,0,1,
382,,17,11,63.0,0,5,1,
383,,12,16,38.0,0,4,0,
384,,25,12,73.0,0,1,0,
385,,21,3,57.0,1,5,0,
386,,17,11,45.0,0,2,0,
387,,9,3,13.0,0,5,0,
388,,22,18,59.0,0,5,1,
389,,21,11,79.0,0,4,1,
390,,18,3,19.0,1,1,0,
391,,5,3,51.0,0,2,0,
392,,5,12,54.0,0,3,1,
393,,14,20,54.0,1,5,0,
394,,17,4,56.0,1,4,0,
395,,1,17,65.0,0,4,0,
396,,5,5,35.0,0,1,0,
397,,4,2,69.0,1,1,0,
398,,10,15,78.0,0,2,1,
399,,12,3,19.0,0,1,0,
400,,17,18,67.0,0,3,0,
401,,16,6,66.0,0,3,0,
403,,13,3,52.0,1,4,0,
404,,26,11,77.0,0,1,0,
406,,23,2,14.0,0,5,1,
407,,8,7,69.0,1,4,0,
408,,26,5,52.0,0,5,1,
409,,12,14,72.0,1,1,0,
410,,4,17,49.0,0,1,1,
411,,13,8,29.0,1,5,1,
412,,17,13,46.0,1,3,1,
413,,2,20,60.0,0,4,1,
415,,20,20,52.0,0,3,1,
416,,1,3,23.0,0,3,0,
417,,25,17,47.0,0,1,1,
418,,5,15,36.0,1,3,1,
419,,15,5,40.0,1,3,1,
422,,4,2,33.0,0,4,0,
424,,17,18,40.0,0,3,0,
426,,13,4,73.0,0,0,0,
427,,8,7,29.0,0,1,1,
428,,2,8,33.0,0,5,1,
429,,8,12,16.0,1,4,0,
430,,5,2,46.0,0,0,1,
431,,10,11,14.0,0,4,1,
432,,17,12,76.0,0,2,0,
433,,11,2,61.0,1,1,0,
434,,10,16,45.0,1,5,0,
435,,10,9,13.0,0,5,1,
436,,5,2,53.0,0,3,1,
438,,5,14,18.0,0,4,1,
440,,16,6,79.0,0,2,1,
441,,17,19,28.0,1,0,0,
444,,18,20,22.0,0,0,0,
447,,24,13,35.0,0,4,1,
449,,21,3,30.0,0,1,1,
451,,5,11,42.0,0,5,0,
452,,3,8,68.0,1,2,1,
454,,17,4,70.0,0,3,1,
455,,8,4,68.0,0,5,1,
456,,10,2,56.0,0,0,0,
457,,21,19,62.0,1,3,1,
458,,17,0,62.0,1,5,1,
459,,21,4,44.0,0,5,0,
460,,24,3,58.0,1,0,1,
461,,13,9,27.0,1,0,0,
462,,13,17,73.0,0,0,0,
463,,28,3,54.0,1,0,1,
464,,21,5,59.0,0,1,1,
466,,9,0,53.0,0,4,1,
467,,4,9,39.0,1,3,1,
468,,5,6,67.0,0,0,1,
469,,20,0,74.0,0,3,1,
470,,7,18,72.0,0,4,0,
472,,12,12,76.0,0,2,0,
473,,15,14,43.0,0,3,1,
474,,18,3,45.0,1,0,1,
475,,0,8,28.0,0,0,0,
476,,5,16,67.0,0,1,0,
477,,8,15,47.0,1,4,1,
478,,17,2,77.0,0,2,0,
479,,16,17,57.0,1,4,1,
480,,13,2,54.0,0,4,0,
482,,1,10,12.0,1,5,1,
483,,8,20,24.0,0,1,0,
484,,24,9,17.0,1,3,0,
486,,7,2,15.0,1,4,1,
487,,5,7,48.0,1,2,0,
488,,4,4,32.0,0,5,1,
489,,5,11,65.0,1,1,0,
491,,4,17,60.0,1,4,1,
492,,5,6,40.0,0,0,0,
493,,1,19,54.0,0,4,0,
494,,17,20,28.0,0,2,1,
495,,10,11,63.0,0,2,1,
496,,15,8,21.0,1,1,0,
497,,13,20,75.0,1,2,1,
498,,17,2,16.0,0,5,0,
499,,2,2,31.0,0,1,1,
500,,4,0,67.0,0,3,1,
502,,2,11,59.0,0,0,0,
503,,2,1,41.0,0,0,0,
504,,21,17,70.0,0,0,1,
505,,18,4,62.0,0,4,0,
506,,13,10,16.0,0,1,1,
507,,4,16,32.0,0,0,0,
508,,10,3,10.0,0,5,0,
509,,5,0,48.0,1,4,0,
510,,5,6,58.0,1,2,0,
511,,16,13,26.0,0,1,0,
512,,16,14,65.0,0,5,1,
514,,19,3,62.0,1,4,1,
515,,10,3,43.0,0,4,1,
516,,5,9,69.0,1,1,1,
517,,11,8,12.0,0,0,0,
519,,5,8,26.0,0,0,0,
520,,4,16,66.0,0,0,0,
521,,17,15,73.0,0,2,1,
523,,15,3,64.0,1,2,1,
524,,5,20,34.0,0,4,1,
525,,5,17,47.0,0,3,0,
526,,8,10,11.0,0,1,1,
527,,14,19,14.0,0,0,0,
528,,27,3,38.0,0,5,1,
529,,8,19,43.0,0,4,0,
530,,2,13,22.0,0,5,0,
531,,1,8,13.0,1,1,1,
532,,28,5,33.0,1,4,1,
533,,22,10,49.0,1,3,1,
534,,5,3,74.0,1,4,1,
535,,4,20,47.0,0,5,0,
536,,21,7,68.0,0,3,1,
537,,13,16,26.0,1,5,1,
538,,21,11,34.0,1,0,0,
539,,17,12,52.0,1,4,0,
540,,20,0,59.0,0,4,0,
541,,17,3,29.0,1,2,1,
542,,5,4,11.0,1,0,0,
543,,1,13,78.0,0,2,0,
544,,10,14,24.0,0,4,1,
545,,7,20,31.0,0,2,0,
546,,13,2,14.0,0,4,0,
547,,17,12,64.0,1,0,1,
548,,4,1,73.0,0,3,0,
549,,15,1,48.0,1,5,0,
550,,17,8,30.0,1,2,1,
551,,17,12,61.0,0,3,0,
552,,7,16,13.0,0,1,1,
553,,17,15,79.0,0,3,1,
554,,21,18,36.0,1,3,0,
555,,15,13,11.0,0,1,1,
556,,8,13,37.0,1,3,0,
558,,15,15,51.0,0,2,1,
559,,2,15,53.0,0,3,0,
560,,18,14,71.0,0,4,0,
561,,4,19,75.0,1,1,0,
562,,13,19,20.0,1,5,0,
563,,10,17,61.0,0,3,1,
564,,17,14,27.0,1,3,0,
565,,21,19,63.0,0,4,0,
566,,4,13,48.0,1,4,0,
568,,13,16,73.0,0,2,1,
569,,17,8,67.0,0,4,0,
570,,9,1,10.0,0,3,1,
571,,28,4,21.0,0,3,1,
573,,27,20,44.0,0,1,0,
576,,26,8,30.0,0,2,1,
577,,8,20,51.0,0,4,0,
578,,17,11,27.0,0,2,0,
580,,15,8,56.0,0,3,0,
581,,2,14,72.0,1,2,0,
582,,5,19,69.0,1,5,1,
583,,21,7,13.0,1,4,1,
584,,17,2,22.0,0,5,0,
585,,15,6,25.0,0,3,0,
586,,0,14,40.0,0,5,0,
587,,4,0,16.0,0,2,0,
589,,18,17,65.0,0,3,0,
590,,10,13,53.0,0,3,1,
591,,13,11,16.0,1,0,1,
592,,2,15,20.0,0,5,0,
593,,2,4,65.0,0,4,0,
594,,8,20,24.0,1,0,0,
595,,23,7,55.0,0,1,0,
596,,2,17,11.0,0,5,1,
597,,21,14,12.0,0,1,1,
598,,4,18,35.0,0,4,1,
599,,2,5,70.0,1,1,1,
600,,17,11,55.0,0,5,0,
601,,10,17,41.0,1,2,1,
602,,18,10,41.0,0,2,1,
603,,17,15,41.0,0,3,1,
605,,2,18,78.0,0,3,0,
606,,4,4,20.0,0,1,1,
607,,5,15,15.0,0,5,1,
608,,2,2,70.0,1,5,0,
609,,10,4,52.0,1,1,0,
610,,17,7,38.0,0,3,1,
611,,14,2,16.0,0,2,0,
612,,21,9,32.0,0,4,1,
614,,9,8,25.0,0,4,1,
615,,17,7,46.0,0,5,1,
616,,21,6,70.0,0,1,1,
617,,5,14,51.0,1,4,0,
618,,5,6,42.0,0,5,1,
619,,2,3,25.0,1,4,0,
620,,5,7,34.0,0,2,1,
621,,13,11,53.0,1,1,0,
622,,17,12,77.0,0,2,1,
623,,3,5,48.0,0,0,1,
624,,17,15,46.0,1,0,0,
625,,23,14,66.0,0,2,0,
628,,1,10,12.0,1,5,1,
629,,13,3,59.0,0,2,0,
632,,5,4,25.0,0,5,0,
633,,0,4,60.0,0,3,1,
635,,4,17,28.0,0,3,1,
636,,9,15,35.0,0,0,0,
638,,14,4,79.0,0,5,0,
639,,13,5,37.0,0,1,1,
640,,5,14,77.0,1,3,0,
641,,5,8,31.0,0,3,0,
642,,2,6,75.0,0,3,0,
643,,21,2,72.0,1,0,0,
644,,4,3,77.0,1,5,1,
645,,8,1,43.0,0,4,1,
646,,8,1,37.0,0,3,1,
647,,9,4,11.0,0,4,1,
648,,7,11,22.0,0,5,1,
649,,24,3,28.0,1,4,0,
650,,8,10,57.0,0,5,1,
651,,4,19,62.0,1,3,1,
652,,1,2,56.0,1,5,0,
653,,13,16,66.0,0,1,0,
654,,2,2,38.0,1,4,0,
655,,12,7,30.0,1,3,1,
656,,13,16,68.0,0,1,1,
657,,7,7,64.0,1,5,0,
658,,12,20,40.0,0,4,0,
659,,13,11,70.0,0,4,1,
660,,5,3,18.0,0,1,0,
661,,13,3,10.0,0,2,0,
662,,13,10,12.0,1,0,0,
663,,13,1,33.0,0,5,1,
664,,10,17,22.0,0,1,0,
665,,7,17,54.0,0,4,1,
666,,5,2,32.0,0,5,1,
667,,4,11,71.0,1,3,0,
668,,5,20,43.0,0,1,1,
669,,8,16,49.0,1,1,1,
